time,essid,signal_total,signal_level_dBm,signal_quality
2019-08-16T11:23:01,MOVISTAR_67E6b,70,-63,47
2019-08-16T11:24:01,MOVISTAR_67E6,70,-70,40
2019-08-16T11:24:01,MOVISTAR_67E6b,70,-61,49
2019-08-16T11:25:02,MOVISTAR_67E6,70,-65,45
2019-08-16T11:25:02,MOVISTAR_67E6b,70,-62,48
2019-08-16T11:26:01,MOVISTAR_67E6,70,-69,41
2019-08-16T11:26:01,MOVISTAR_67E6b,70,-59,51
2019-08-16T11:27:01,MOVISTAR_67E6,70,-67,43
2019-08-16T11:27:01,MOVISTAR_67E6b,70,-62,48
2019-08-16T11:28:01,MOVISTAR_67E6,70,-79,31
2019-08-16T11:28:01,MOVISTAR_67E6b,70,-59,51
2019-08-16T11:29:02,MOVISTAR_67E6,70,-72,38
2019-08-16T11:29:02,MOVISTAR_67E6b,70,-59,51
2019-08-16T11:30:01,MOVISTAR_67E6,70,-75,35
2019-08-16T11:30:01,MOVISTAR_67E6b,70,-65,45
2019-08-16T11:31:01,MOVISTAR_67E6,70,-65,45
2019-08-16T11:31:01,MOVISTAR_67E6b,70,-67,43
2019-08-16T11:32:01,MOVISTAR_67E6,70,-76,34
2019-08-16T11:32:01,MOVISTAR_67E6b,70,-64,46
2019-08-16T11:33:02,MOVISTAR_67E6,70,-69,41
2019-08-16T11:33:02,MOVISTAR_67E6b,70,-67,43
2019-08-16T11:34:01,MOVISTAR_67E6,70,-71,39
2019-08-16T11:34:01,MOVISTAR_67E6b,70,-64,46
2019-08-16T11:35:01,MOVISTAR_67E6,70,-69,41
2019-08-16T11:35:01,MOVISTAR_67E6b,70,-67,43
2019-08-16T11:36:01,MOVISTAR_67E6,70,-69,41
2019-08-16T11:36:01,MOVISTAR_67E6b,70,-66,44
2019-08-16T11:37:02,MOVISTAR_67E6,70,-75,35
2019-08-16T11:37:02,MOVISTAR_67E6b,70,-65,45
2019-08-16T11:38:01,MOVISTAR_67E6,70,-72,38
2019-08-16T11:38:01,MOVISTAR_67E6b,70,-61,49
